id,x,y,cluster_id
819162968592183000,-9.545386314,3.478480577,4
819164172781060000,6.087203026,-16.89971352,4
819393877174087000,22.89115906,-21.70108032,4
819399723924803000,-28.00787163,37.7090416,3
819520238446411000,16.08081055,11.28092194,4
819541997325316000,-16.17468071,39.63976669,7
819550083742109000,27.43027496,-21.63034439,1
819600124133474000,-31.92575645,19.92917442,1
819858926455967000,42.06834793,-1.470450521,7
819863039902097000,-2.441462994,-7.380913734,4
819864373988573000,-14.01680565,-5.97283268,4
819865802849587000,48.81097794,5.263588428,7
819867246352801000,19.10592461,8.040642738,7
819868066364461000,30.25478172,16.70445633,7
819869953692155000,24.83059883,-3.864238024,7
819962894616064000,-39.13328171,-1.927738547,1
820251730407473000,6.698569298,2.51719594,7
820255947956383000,17.7226162,-27.70440865,4
820257714362314000,-8.043185234,-8.512553215,4
820425770925338000,28.20569611,-0.81092149,7
820450166331346000,0.792685032,20.52164459,4
820631495660408000,4.782804966,-8.517172813,7
820632299037409000,37.75699615,0.234796196,7
820707210565132000,48.13876343,-0.923787534,7
820723387995717000,26.0479393,19.11852074,7
820725491812487000,48.30118561,-2.840184212,7
820764134857969000,15.05687237,8.469702721,4
820786730257285000,25.26241112,31.62799072,4
820789938887294000,-5.178685188,8.897633553,4
820992721120854000,6.774377823,29.7665329,4
821170750983995000,18.81793594,38.02734756,7
821172595869577000,23.8010006,36.29240417,4
821177307708661000,-32.37184525,3.206299543,4
821342600322043000,-2.155535936,34.79922104,7
821344302651555000,45.82194901,-3.383182049,7
821364027506966000,-17.56081009,14.68767548,1
821365569366671000,4.735797882,-41.24145126,7
821368088935432000,30.40591812,25.23470306,4
821369651968012000,35.03928375,22.7747879,4
821410947864653000,25.3823452,-27.44786263,4
821415698278875000,-9.670245171,15.44153023,1
821686928680583000,2.96825099,63.27395248,7
821697182235496000,22.31610298,-18.27264595,7
821699672687448000,23.4053688,-19.63246155,7
821703902940827000,-35.44821548,-6.920448303,1
821705440178348000,18.58263969,-15.37065029,4
821719763214880000,-10.43139172,20.94097328,1
821772494864580000,-40.66706085,25.81107712,3
821844875268255000,-16.36079979,38.21281052,5
821898525432811000,-50.54043961,14.02201462,3
821930600290521000,-27.62816048,33.53468704,1
822064153426857000,3.535794973,12.94416523,4
