id,x,y,cluster_id
875698062030778000,-24.40543365,-33.49013901,1
875701471999864000,-12.29784012,-1.583020926,4
875732813278048000,-47.18832779,42.54518509,6
875840132238032000,-51.08454895,-3.755280256,3
875843513761583000,-54.26513672,-5.933191299,3
875888258407858000,34.88996506,29.91383362,7
876079184417882000,-21.59781265,29.17287827,1
876388733607694000,1.379600525,-18.909132,1
876390681056600000,-29.78577614,-30.39228249,1
876394578777174000,-10.70621872,-35.66131592,1
876558049565188000,11.91928482,30.66265678,7
876771526208626000,-3.690875769,56.62445068,3
876778344636928000,-32.63702774,-10.14046764,1
876896144944762000,-21.67546654,29.06425476,1
876899176562524000,-25.55597687,5.649609566,1
876899250071904000,-24.68343163,-17.75898361,1
876899797994790000,-1.474602103,9.932984352,4
876899886272319000,35.6701088,33.19519424,4
876900944444837000,-1.476490378,9.932434082,4
876901304207069000,35.66827774,33.1902504,7
876921011668738000,-43.96461868,19.99181938,3
876948721468141000,-38.77381516,-3.461158037,3
876964061027684000,-23.78748703,5.198612213,7
877101173412638000,-26.35029602,2.893407345,1
877104262463008000,-25.05545425,0.352091819,7
877204691851108000,-10.02263927,-17.95717621,1
877234140483121000,-4.542714119,26.17257881,4
877341043171241000,-43.09025955,20.51023674,1
877350761742688000,-14.28643131,37.46538925,5
877353797760286000,-21.63747597,-2.091753244,3
877355739383287000,-28.08078766,12.95772266,5
877363446530007000,-28.84776497,12.72214317,1
877372660455546000,23.07990456,-18.17483521,7
877474368661618000,32.25743103,0.726621449,7
877663648713330000,-18.29568481,49.71047592,7
877674738364989000,-26.79169464,39.55600357,5
877846483021602000,-25.36386871,47.58789825,5
877878375045447000,-39.9408226,-1.935566902,3
877879361130688000,26.68617439,-34.08191299,7
877889199353077000,-2.61631012,-7.116767406,1
877891129194102000,-2.579474449,-7.166275978,4
877892883352702000,28.81328583,12.78036308,7
877932907137966000,14.27314281,-29.99343872,1
877932956458795000,49.63916397,-5.592432022,7
878006964072189000,-39.27156448,-6.276553631,3
878013639613186000,-14.31910419,-24.9683876,1
878019881353871000,3.534072638,29.09047699,4
878027873650475000,-24.24102402,52.58491898,5
878031806506848000,-17.94675255,31.90135384,5
878078560715538000,-45.94752121,19.54719353,3
