id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,
861177649179373000,7/05/2017 11:15,-0.5,"When will the Fake Media ask about the Dems dealings with Russia &amp, why the DNC wouldn't allow the FBI to check their server or investigate?",when,will,the,fake,media,ask,about,the,dems,dealings,with,russia,&,why,the,dnc,wouldnt,allow,the,fbi,to,check,their,server,or,investigate,,
861201362834665000,7/05/2017 12:49,-0.148148148,Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,republican,senators,will,not,let,the,american,people,down,obamacare,premiums,and,deductibles,are,way,up,-,it,was,a,lie,and,it,is,dead,,,
861300169438113000,7/05/2017 19:22,0.28125,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,congratulations,to,emmanuel,macron,on,his,big,win,today,as,the,next,president,of,france,i,look,very,much,forward,to,working,with,him,,,,
861354654856249000,7/05/2017 22:58,0,Rexnord of Indiana made a deal during the Obama Administration to move to Mexico. Fired their employees. Tax product big that's sold in U.S.,rexnord,of,indiana,made,a,deal,during,the,obama,administration,to,move,to,mexico,fired,their,employees,tax,product,big,thats,sold,in,us,,,,
861544307043467000,8/05/2017 11:32,0.6,Congratulations to @PGA_JohnDaly on his big win yesterday. John is a great guy who never gave up - and now a winner again!,congratulations,to,@pgajohndaly,on,his,big,win,yesterday,john,is,a,great,guy,who,never,gave,up,-,and,now,a,winner,again,,,,,
861550676505219000,8/05/2017 11:57,-0.225,General Flynn was given the highest security clearance by the Obama Administration - but the Fake News seldom likes talking about that.,general,flynn,was,given,the,highest,security,clearance,by,the,obama,administration,-,but,the,fake,news,seldom,likes,talking,about,that,,,,,,
861554864542941000,8/05/2017 12:14,0,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Council.",ask,sally,yates,under,oath,if,she,knows,how,classified,information,got,into,the,newspapers,soon,after,she,explained,it,to,wh,council,,,,,
861592420043157000,8/05/2017 14:43,0,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.",ask,sally,yates,under,oath,if,she,knows,how,classified,information,got,into,the,newspapers,soon,after,she,explained,it,to,wh,counsel,,,,,
861637456281690000,8/05/2017 17:42,0.8,"Honored to welcome Georgia Prime Minister, Giorgi Kvirikashvili to the @WhiteHouse today with @VP Mike Pence.... https://t.co/ohXXgTNtWB",honored,to,welcome,georgia,prime,minister,giorgi,kvirikashvili,to,the,@whitehouse,today,with,@vp,mike,pence,http://...,,,,,,,,,,,
861712617299210000,8/05/2017 22:41,-0.5,"""Director Clapper reiterated what everybody, including the fake media already knows- there is """"no evidence"""" of collusion w/ Russia and Trump.""",director,clapper,reiterated,what,everybody,including,the,fake,media,already,knows-,there,is,no,evidence,of,collusion,w,russia,and,trump,,,,,,,
861713233786404000,8/05/2017 22:43,-0.325,Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,sally,yates,made,the,fake,media,extremely,unhappy,today,---,she,said,nothing,but,old,news,,,,,,,,,,,,
861713823505494000,8/05/2017 22:46,0,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",the,russia-trump,collusion,story,is,a,total,hoax,when,will,this,taxpayer,funded,charade,end,,,,,,,,,,,,,
861715019674910000,8/05/2017 22:50,0,"Biggest story today between Clapper &amp, Yates is on surveillance. Why doesn't the media report on this? #FakeNews!",biggest,story,today,between,clapper,&,yates,is,on,surveillance,why,doesnt,the,media,report,on,this,#fakenews,,,,,,,,,,
861993986436866000,9/05/2017 17:19,0.4,"It was an honor to welcome the Teachers of the Year to the WH last month. Today, we honor and thank all teachers!... https://t.co/sAUJfIZCwR",it,was,an,honor,to,welcome,the,teachers,of,the,year,to,the,wh,last,month,today,we,honor,and,thank,all,teachers,http://...,,,,
862059314277748000,9/05/2017 21:38,0,"'Manufacturing openings, hires rise to highest levels of the recovery'https://t.co/txFZDYYIOe",manufacturing,openings,hires,rise,to,highest,levels,of,the,recovery,http://...,,,,,,,,,,,,,,,,,
862135824745467000,10/05/2017 2:42,0,"""Cryin' Chuck Schumer stated recently, """"I do not have confidence in him (James Comey) any longer."""" Then acts so indignant.  #draintheswamp""",cryin,chuck,schumer,stated,recently,i,do,not,have,confidence,in,him,james,comey,any,longer,then,acts,so,indignant,#draintheswamp,,,,,,,
862263649821503000,10/05/2017 11:10,-0.8125,"The Democrats have said some of the worst things about James Comey, including the fact that he should be fired, but now they play so sad!",the,democrats,have,said,some,of,the,worst,things,about,james,comey,including,the,fact,that,he,should,be,fired,but,now,they,play,so,sad,,
862265729718128000,10/05/2017 11:19,0.2,"James Comey will be replaced by someone who will do a far better job, bringing back the spirit and prestige of the FBI.",james,comey,will,be,replaced,by,someone,who,will,do,a,far,better,job,bringing,back,the,spirit,and,prestige,of,the,fbi,,,,,
862267781336752000,10/05/2017 11:27,0.052777778,"Comey lost the confidence of almost everyone in Washington, Republican and Democrat alike. When things calm down, they will be thanking me!",comey,lost,the,confidence,of,almost,everyone,in,washington,republican,and,democrat,alike,when,things,calm,down,they,will,be,thanking,me,,,,,,
862282202188566000,10/05/2017 12:24,0.45,"""Watching Senator Richard Blumenthal speak of Comey is a joke. """"Richie"""" devised one of the greatest military frauds in U.S. history. For....""",watching,senator,richard,blumenthal,speak,of,comey,is,a,joke,richie,devised,one,of,the,greatest,military,frauds,in,us,history,for,,,,,,
862283792559616000,10/05/2017 12:30,0.8,"years, as a pol in Connecticut, Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When....",years,as,a,pol,in,connecticut,blumenthal,would,talk,of,his,great,bravery,and,conquests,in,vietnam,-,except,he,was,never,there,when,,,,
862286091759611000,10/05/2017 12:39,0,"caught, he cried like a baby and begged for forgiveness...and now he is judge &amp, jury. He should be the one who is investigated for his acts.",caught,he,cried,like,a,baby,and,begged,for,forgivenessand,now,he,is,judge,&,jury,he,should,be,the,one,who,is,investigated,for,his,acts,
862290442129461000,10/05/2017 12:57,-0.316666667,The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.,the,roger,stone,report,on,@cnn,is,FALSE,-,fake,news,have,not,spoken,to,roger,in,a,long,time,-,had,nothing,to,do,with,my,decision
862387734492663000,10/05/2017 19:23,0,"Dems have been complaining for months &amp, months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!",dems,have,been,complaining,for,months,&,months,about,dir,comey,now,that,he,has,been,fired,they,pretend,to,be,aggrieved,phony,hypocrites,,,,
862460991451344000,11/05/2017 0:14,0,The Democrats should be ashamed. This is a disgrace!#DrainTheSwamp https://t.co/UfbKEECm2V,the,democrats,should,be,ashamed,this,is,a,disgrace,#draintheswamp,http://...,,,,,,,,,,,,,,,,,
862752672683839000,11/05/2017 19:34,0,'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure'... https://t.co/kQDBvXPekk,presidential,executive,order,on,strengthening,the,cybersecurity,of,federal,networks,and,critical,infrastructure,http://...,,,,,,,,,,,,,,
862753016193089000,11/05/2017 19:35,0,'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity'➡️... https://t.co/kVG8r7qZS5,presidential,executive,order,on,the,establishment,of,presidential,advisory,commission,on,election,integrity➡️,http://...,,,,,,,,,,,,,,
862758098892619000,11/05/2017 19:55,0,We finally agree on something Rosie. https://t.co/BSP5F3PgbZ,we,finally,agree,on,something,rosie,http://...,,,,,,,,,,,,,,,,,,,,,
862767872879325000,11/05/2017 20:34,-0.05,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,russia,must,be,laughing,up,their,sleeves,watching,as,the,us,tears,itself,apart,over,a,democrat,excuse,for,losing,the,election,,,,,,
862788002594127000,11/05/2017 21:54,-0.041666667,"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo... https://t.co/hm4U54DCQO",yesterday,on,the,same,day-,i,had,meetings,with,russian,foreign,minister,sergei,lavrov,and,the,fm,of,ukraine,pavlo,http://...,,,,,,,
862998775731818000,12/05/2017 11:51,-0.025,"Again, the story that there was collusion between the Russians &amp, Trump campaign was fabricated by Dems as an excuse for losing the election.",again,the,story,that,there,was,collusion,between,the,russians,&,trump,campaign,was,fabricated,by,dems,as,an,excuse,for,losing,the,election,,,,
862999243560288000,12/05/2017 11:53,-0.625,The Fake Media is working overtime today!,the,fake,media,is,working,overtime,today,,,,,,,,,,,,,,,,,,,,,
863000553265270000,12/05/2017 11:59,0.275555556,"As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy!....",as,a,very,active,president,with,lots,of,things,happening,it,is,not,possible,for,my,surrogates,to,stand,at,podium,with,perfect,accuracy,,,,
863002719400976000,12/05/2017 12:07,0.5,"""...Maybe the best thing to do would be to cancel all future """"press briefings"""" and hand out written responses for the sake of accuracy???""",maybe,the,best,thing,to,do,would,be,to,cancel,all,future,press,briefings,and,hand,out,written,responses,for,the,sake,of,accuracy,,,,
